hs6,sanction_date,sanctioned,partially_exempt,dual_use,industrial_cap,luxury,military_tech,aviation,firearms,oil_exploration,oil_refining,sanction_year,category
010121,2022-03-15,1.0,0.0,,,1.0,,,,,,2022.0,luxury
010129,2022-03-15,1.0,1.0,,,1.0,,,,,,2022.0,luxury
010130,,,,,,,,,,,,,non_sanctioned
010190,,,,,,,,,,,,,non_sanctioned
010221,,,,,,,,,,,,,non_sanctioned
010229,,,,,,,,,,,,,non_sanctioned
010231,,,,,,,,,,,,,non_sanctioned
010239,,,,,,,,,,,,,non_sanctioned
010290,,,,,,,,,,,,,non_sanctioned
010310,,,,,,,,,,,,,non_sanctioned
010391,,,,,,,,,,,,,non_sanctioned
010392,,,,,,,,,,,,,non_sanctioned
010410,,,,,,,,,,,,,non_sanctioned
010420,,,,,,,,,,,,,non_sanctioned
010511,,,,,,,,,,,,,non_sanctioned
010512,,,,,,,,,,,,,non_sanctioned
010513,,,,,,,,,,,,,non_sanctioned
010514,,,,,,,,,,,,,non_sanctioned
010515,,,,,,,,,,,,,non_sanctioned
010594,,,,,,,,,,,,,non_sanctioned
010599,,,,,,,,,,,,,non_sanctioned
010611,,,,,,,,,,,,,non_sanctioned
010612,,,,,,,,,,,,,non_sanctioned
010613,,,,,,,,,,,,,non_sanctioned
010614,,,,,,,,,,,,,non_sanctioned
010619,,,,,,,,,,,,,non_sanctioned
010620,,,,,,,,,,,,,non_sanctioned
010631,,,,,,,,,,,,,non_sanctioned
010632,,,,,,,,,,,,,non_sanctioned
010633,,,,,,,,,,,,,non_sanctioned
010639,,,,,,,,,,,,,non_sanctioned
010641,,,,,,,,,,,,,non_sanctioned
010649,,,,,,,,,,,,,non_sanctioned
010690,,,,,,,,,,,,,non_sanctioned
020110,,,,,,,,,,,,,non_sanctioned
020120,,,,,,,,,,,,,non_sanctioned
020130,,,,,,,,,,,,,non_sanctioned
020210,,,,,,,,,,,,,non_sanctioned
020220,,,,,,,,,,,,,non_sanctioned
020230,,,,,,,,,,,,,non_sanctioned
020311,,,,,,,,,,,,,non_sanctioned
020312,,,,,,,,,,,,,non_sanctioned
020319,,,,,,,,,,,,,non_sanctioned
020321,,,,,,,,,,,,,non_sanctioned
020322,,,,,,,,,,,,,non_sanctioned
020329,,,,,,,,,,,,,non_sanctioned
020410,,,,,,,,,,,,,non_sanctioned
020421,,,,,,,,,,,,,non_sanctioned
020422,,,,,,,,,,,,,non_sanctioned
020423,,,,,,,,,,,,,non_sanctioned
020430,,,,,,,,,,,,,non_sanctioned
020441,,,,,,,,,,,,,non_sanctioned
020442,,,,,,,,,,,,,non_sanctioned
020443,,,,,,,,,,,,,non_sanctioned
020450,,,,,,,,,,,,,non_sanctioned
020500,,,,,,,,,,,,,non_sanctioned
020610,,,,,,,,,,,,,non_sanctioned
020621,,,,,,,,,,,,,non_sanctioned
020622,,,,,,,,,,,,,non_sanctioned
020629,,,,,,,,,,,,,non_sanctioned
020630,,,,,,,,,,,,,non_sanctioned
020641,,,,,,,,,,,,,non_sanctioned
020649,,,,,,,,,,,,,non_sanctioned
020680,,,,,,,,,,,,,non_sanctioned
020690,,,,,,,,,,,,,non_sanctioned
020711,,,,,,,,,,,,,non_sanctioned
020712,,,,,,,,,,,,,non_sanctioned
020713,,,,,,,,,,,,,non_sanctioned
020714,,,,,,,,,,,,,non_sanctioned
020724,,,,,,,,,,,,,non_sanctioned
020725,,,,,,,,,,,,,non_sanctioned
020726,,,,,,,,,,,,,non_sanctioned
020727,,,,,,,,,,,,,non_sanctioned
020741,,,,,,,,,,,,,non_sanctioned
020742,,,,,,,,,,,,,non_sanctioned
020743,,,,,,,,,,,,,non_sanctioned
020744,,,,,,,,,,,,,non_sanctioned
020745,,,,,,,,,,,,,non_sanctioned
020751,,,,,,,,,,,,,non_sanctioned
020752,,,,,,,,,,,,,non_sanctioned
020753,,,,,,,,,,,,,non_sanctioned
020754,,,,,,,,,,,,,non_sanctioned
020755,,,,,,,,,,,,,non_sanctioned
020760,,,,,,,,,,,,,non_sanctioned
020810,,,,,,,,,,,,,non_sanctioned
020830,,,,,,,,,,,,,non_sanctioned
020840,,,,,,,,,,,,,non_sanctioned
020850,,,,,,,,,,,,,non_sanctioned
020860,,,,,,,,,,,,,non_sanctioned
020890,,,,,,,,,,,,,non_sanctioned
020910,,,,,,,,,,,,,non_sanctioned
020990,,,,,,,,,,,,,non_sanctioned
021011,,,,,,,,,,,,,non_sanctioned
021012,,,,,,,,,,,,,non_sanctioned
021019,,,,,,,,,,,,,non_sanctioned
021020,,,,,,,,,,,,,non_sanctioned
021091,,,,,,,,,,,,,non_sanctioned
021092,,,,,,,,,,,,,non_sanctioned
021093,,,,,,,,,,,,,non_sanctioned
021099,,,,,,,,,,,,,non_sanctioned
030111,,,,,,,,,,,,,non_sanctioned
030119,,,,,,,,,,,,,non_sanctioned
030191,,,,,,,,,,,,,non_sanctioned
030192,,,,,,,,,,,,,non_sanctioned
030193,,,,,,,,,,,,,non_sanctioned
030194,,,,,,,,,,,,,non_sanctioned
030195,,,,,,,,,,,,,non_sanctioned
030199,,,,,,,,,,,,,non_sanctioned
030211,,,,,,,,,,,,,non_sanctioned
030213,,,,,,,,,,,,,non_sanctioned
030214,,,,,,,,,,,,,non_sanctioned
030219,,,,,,,,,,,,,non_sanctioned
030221,,,,,,,,,,,,,non_sanctioned
030222,,,,,,,,,,,,,non_sanctioned
030223,,,,,,,,,,,,,non_sanctioned
030224,,,,,,,,,,,,,non_sanctioned
030229,,,,,,,,,,,,,non_sanctioned
030231,,,,,,,,,,,,,non_sanctioned
030232,,,,,,,,,,,,,non_sanctioned
030233,,,,,,,,,,,,,non_sanctioned
030234,,,,,,,,,,,,,non_sanctioned
030235,,,,,,,,,,,,,non_sanctioned
030236,,,,,,,,,,,,,non_sanctioned
030239,,,,,,,,,,,,,non_sanctioned
030241,,,,,,,,,,,,,non_sanctioned
030242,,,,,,,,,,,,,non_sanctioned
030243,,,,,,,,,,,,,non_sanctioned
030244,,,,,,,,,,,,,non_sanctioned
030245,,,,,,,,,,,,,non_sanctioned
030246,,,,,,,,,,,,,non_sanctioned
030247,,,,,,,,,,,,,non_sanctioned
030249,,,,,,,,,,,,,non_sanctioned
030251,,,,,,,,,,,,,non_sanctioned
030252,,,,,,,,,,,,,non_sanctioned
030253,,,,,,,,,,,,,non_sanctioned
030254,,,,,,,,,,,,,non_sanctioned
030255,,,,,,,,,,,,,non_sanctioned
030256,,,,,,,,,,,,,non_sanctioned
030259,,,,,,,,,,,,,non_sanctioned
030271,,,,,,,,,,,,,non_sanctioned
030272,,,,,,,,,,,,,non_sanctioned
030273,,,,,,,,,,,,,non_sanctioned
030274,,,,,,,,,,,,,non_sanctioned
030279,,,,,,,,,,,,,non_sanctioned
030281,,,,,,,,,,,,,non_sanctioned
030282,,,,,,,,,,,,,non_sanctioned
030283,,,,,,,,,,,,,non_sanctioned
030284,,,,,,,,,,,,,non_sanctioned
030285,,,,,,,,,,,,,non_sanctioned
030289,,,,,,,,,,,,,non_sanctioned
030291,,,,,,,,,,,,,non_sanctioned
030292,,,,,,,,,,,,,non_sanctioned
030299,,,,,,,,,,,,,non_sanctioned
030311,,,,,,,,,,,,,non_sanctioned
030312,,,,,,,,,,,,,non_sanctioned
030313,,,,,,,,,,,,,non_sanctioned
030314,,,,,,,,,,,,,non_sanctioned
030319,,,,,,,,,,,,,non_sanctioned
030323,,,,,,,,,,,,,non_sanctioned
030324,,,,,,,,,,,,,non_sanctioned
030325,,,,,,,,,,,,,non_sanctioned
030326,,,,,,,,,,,,,non_sanctioned
030329,,,,,,,,,,,,,non_sanctioned
030331,,,,,,,,,,,,,non_sanctioned
030332,,,,,,,,,,,,,non_sanctioned
030333,,,,,,,,,,,,,non_sanctioned
030334,,,,,,,,,,,,,non_sanctioned
030339,,,,,,,,,,,,,non_sanctioned
030341,,,,,,,,,,,,,non_sanctioned
030342,,,,,,,,,,,,,non_sanctioned
030343,,,,,,,,,,,,,non_sanctioned
030344,,,,,,,,,,,,,non_sanctioned
030345,,,,,,,,,,,,,non_sanctioned
030346,,,,,,,,,,,,,non_sanctioned
030349,,,,,,,,,,,,,non_sanctioned
030351,,,,,,,,,,,,,non_sanctioned
030353,,,,,,,,,,,,,non_sanctioned
030354,,,,,,,,,,,,,non_sanctioned
030355,,,,,,,,,,,,,non_sanctioned
030356,,,,,,,,,,,,,non_sanctioned
030357,,,,,,,,,,,,,non_sanctioned
030359,,,,,,,,,,,,,non_sanctioned
030363,,,,,,,,,,,,,non_sanctioned
030364,,,,,,,,,,,,,non_sanctioned
030365,,,,,,,,,,,,,non_sanctioned
030366,,,,,,,,,,,,,non_sanctioned
030367,,,,,,,,,,,,,non_sanctioned
030368,,,,,,,,,,,,,non_sanctioned
030369,,,,,,,,,,,,,non_sanctioned
030381,,,,,,,,,,,,,non_sanctioned
030382,,,,,,,,,,,,,non_sanctioned
030383,,,,,,,,,,,,,non_sanctioned
030384,,,,,,,,,,,,,non_sanctioned
030389,,,,,,,,,,,,,non_sanctioned
030391,,,,,,,,,,,,,non_sanctioned
030392,,,,,,,,,,,,,non_sanctioned
030399,,,,,,,,,,,,,non_sanctioned
030431,,,,,,,,,,,,,non_sanctioned
030432,,,,,,,,,,,,,non_sanctioned
030433,,,,,,,,,,,,,non_sanctioned
030439,,,,,,,,,,,,,non_sanctioned
030441,,,,,,,,,,,,,non_sanctioned
030442,,,,,,,,,,,,,non_sanctioned
030443,,,,,,,,,,,,,non_sanctioned
030444,,,,,,,,,,,,,non_sanctioned
030445,,,,,,,,,,,,,non_sanctioned
030446,,,,,,,,,,,,,non_sanctioned
030447,,,,,,,,,,,,,non_sanctioned
030448,,,,,,,,,,,,,non_sanctioned
030449,,,,,,,,,,,,,non_sanctioned
030451,,,,,,,,,,,,,non_sanctioned
030452,,,,,,,,,,,,,non_sanctioned
030453,,,,,,,,,,,,,non_sanctioned
030454,,,,,,,,,,,,,non_sanctioned
030455,,,,,,,,,,,,,non_sanctioned
030456,,,,,,,,,,,,,non_sanctioned
030457,,,,,,,,,,,,,non_sanctioned
030459,,,,,,,,,,,,,non_sanctioned
030461,,,,,,,,,,,,,non_sanctioned
030462,,,,,,,,,,,,,non_sanctioned
030463,,,,,,,,,,,,,non_sanctioned
030469,,,,,,,,,,,,,non_sanctioned
030471,,,,,,,,,,,,,non_sanctioned
030472,,,,,,,,,,,,,non_sanctioned
030473,,,,,,,,,,,,,non_sanctioned
030474,,,,,,,,,,,,,non_sanctioned
030475,,,,,,,,,,,,,non_sanctioned
030479,,,,,,,,,,,,,non_sanctioned
030481,,,,,,,,,,,,,non_sanctioned
030482,,,,,,,,,,,,,non_sanctioned
030483,,,,,,,,,,,,,non_sanctioned
030484,,,,,,,,,,,,,non_sanctioned
030485,,,,,,,,,,,,,non_sanctioned
030486,,,,,,,,,,,,,non_sanctioned
030487,,,,,,,,,,,,,non_sanctioned
030488,,,,,,,,,,,,,non_sanctioned
030489,,,,,,,,,,,,,non_sanctioned
030491,,,,,,,,,,,,,non_sanctioned
030492,,,,,,,,,,,,,non_sanctioned
030493,,,,,,,,,,,,,non_sanctioned
030494,,,,,,,,,,,,,non_sanctioned
030495,,,,,,,,,,,,,non_sanctioned
030496,,,,,,,,,,,,,non_sanctioned
030497,,,,,,,,,,,,,non_sanctioned
030499,,,,,,,,,,,,,non_sanctioned
030510,,,,,,,,,,,,,non_sanctioned
030520,,,,,,,,,,,,,non_sanctioned
030531,,,,,,,,,,,,,non_sanctioned
030532,,,,,,,,,,,,,non_sanctioned
030539,,,,,,,,,,,,,non_sanctioned
030541,,,,,,,,,,,,,non_sanctioned
030542,,,,,,,,,,,,,non_sanctioned
030543,,,,,,,,,,,,,non_sanctioned
030544,,,,,,,,,,,,,non_sanctioned
030549,,,,,,,,,,,,,non_sanctioned
